Position,Name,Party,State of Birth,Born,Died,Religion,Age at inaguration,Age at death,Notes,Occupation,College,Years in office,Link,Term start,Term end
1,Washington,Federalist,Virginia,2/22/1732,12/14/1799,Episcopalian,57,67,,Planter,None,8,georgewashington,1789,1797
2,J. Adams,Federalist,Massachusetts,10/30/1735,7/4/1826,Unitarian,61,90,,Lawyer,Harvard,4,johnadams,1797,1801
3,Jefferson,Democratic-Republican,Virginia,4/13/1743,7/4/1826,Deist,57,83,,"Planter, Lawyer",William and Mary,8,thomasjefferson,1801,1809
4,Madison,Democratic-Republican,Virginia,3/16/1751,6/28/1836,Episcopalian,57,85,,Lawyer,Princeton,8,jamesmadison,1809,1817
5,Monroe,Democratic-Republican,Virginia,4/28/1758,7/4/1831,Episcopalian,58,73,,Lawyer,William and Mary,8,jamesmonroe,1817,1825
6,J. Q. Adams,Democratic-Republican,Massachusetts,7/11/1767,2/23/1848,Unitarian,57,80,,Lawyer,Harvard,4,johnquincyadams,1825,1829
7,Jackson,Democratic,South Carolina,3/15/1767,6/8/1845,Presbyterian,61,78,,Lawyer,None,8,andrewjackson,1829,1837
8,Van Buren,Democratic,New York,12/5/1782,7/24/1862,Reformed Dutch,54,79,,Lawyer,None,4,martinvanburen,1837,1841
9,W. H. Harrison,Whig,Virginia,2/9/1773,4/4/1841,Episcopalian,68,68,Died in office,Soldier,Hampden-Sydney,0.8,williamhenryharrison,1841,1841
10,Tyler,Whig,Virginia,3/29/1790,1/18/1862,Episcopalian,51,71,,Lawyer,William and Mary,4,johntyler,1841,1845
11,Polk,Democratic,North Carolina,11/2/1795,6/15/1849,Methodist,49,53,,Lawyer,U. of North Carolina,4,jamespolk,1845,1849
12,Taylor,Whig,Virginia,11/24/1784,7/9/1850,Episcopalian,64,65,Died in office,Soldier,None,1,zacharytaylor,1849,1850
13,Fillmore,Whig,New York,1/7/1800,3/8/1874,Unitarian,50,74,,Lawyer,None,3,millardfillmore,1850,1853
14,Pierce,Democratic,New Hampshire,11/23/1804,10/8/1869,Episcopalian,48,64,,Lawyer,Bowdoin,4,franklinpierce,1853,1857
15,Buchanan,Democratic,Pennsylvania,4/23/1791,6/1/1868,Presbyterian,65,77,,Lawyer,Dickinson,4,jamesbuchanan,1857,1861
16,Lincoln,Republican,Kentucky,2/12/1809,4/15/1865,Liberal,52,56,Assassinated in office,Lawyer,None,4,abrahamlincoln,1861,1865
17,A. Johnson,Union,North Carolina,12/29/1808,7/31/1875,,56,66,,Tailor,None,4,andrewjohnson,1865,1869
18,Grant,Republican,Ohio,4/27/1822,7/23/1885,Methodist,46,63,,Soldier,US Military Academy,8,ulyssessgrant,1869,1877
19,Hayes,Republican,Ohio,10/4/1822,1/17/1893,Methodist,54,70,,Lawyer,Kenyon,4,rutherfordbhayes,1877,1881
